Name of Satellite  Alternate Names,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Angle,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,new_purpose,new_country,new_year,new_month,new_day,avgDis,new_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDO,USA,USA,US Air Force,Military,Technology Development,NAN,Elliptical,NAN,0,216,35224,-3.04,0.73,25.9,620.2,20,NAN,NAN,8/8/19,NAN,Unknown,USA,Cape Canaveral,Atlas 5,2019-051B,44482,Military,USA,2019,8,8,17720,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESS (Transiting Exoplanet Survey Satellite),USA,USA,National Aeronautics  and Space Administration (NASA),Government,Space Science,NAN,Elliptical,NAN,0,258,268488,2.55,0.95,29.6,8758,362,NAN,NAN,4/18/18,20,NASA/MIT,USA,Cape Canaveral,Falcon 9,2018-038A,43435,Government,USA,2018,4,18,134373,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEMIS A (Time History of Events and Macroscale Interactions during Substorms) ,USA,Multinational,National Aeronautics and Space Administration (NASA)/University of California  Berkeley (in partnership with Germany  France  Austria  Canada),Government/Civil,Space Science,NAN,Elliptical,NAN,0,461,87304,-1.6,0.86,15.7,1868.98,126,77,40,2/17/07,2,Swales Aerospace,USA,Cape Canaveral,Delta 2,2007-004A,30580,Multi-purpose,Multinational,2007,2,17,43882.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEMIS D (Time History of Events and Macroscale Interactions during Substorms) ,USA,Multinational,National Aeronautics and Space Administration (NASA)/University of California  Berkeley (in partnership with Germany  France  Austria  Canada),Government/Civil,Space Science,Optical Imaging,Elliptical,NAN,0,467,87260,0.01,0.86,15.7,1867.91,126,77,40,2/17/07,2,Swales Aerospace,USA,Cape Canaveral,Delta 2,2007-004D,30797,Multi-purpose,Multinational,2007,2,17,43863.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEMIS E (Time History of Events and Macroscale Interactions during Substorms) ,USA,Multinational,National Aeronautics and Space Administration (NASA)/University of California  Berkeley (in partnership with Germany  France  Austria  Canada),Government/Civil,Space Science,Optical Imaging,Elliptical,NAN,0,474,87526,1.3,0.86,15.7,1875.53,126,77,40,2/17/07,2,Swales Aerospace,USA,Cape Canaveral,Delta 2,2007-004E,30798,Multi-purpose,Multinational,2007,2,17,44000,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trumpet 3 (NROL-4  National Reconnaissance Office Launch-4  USA 136),USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Earth Observation,NAN,Elliptical,NAN,0,1210,38740,0.73,0.71,64.7,709.61,8000,NAN,NAN,11/8/97,NAN,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1997-068A,25034,Military,USA,1997,11,8,19975,1990 - 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Allen Probe A (RBSP-A  Radiation Belt Storm Probes),USA,USA,National Aeronautics and Space Administration (NASA)/Johns Hopkins University Applied Physics Laboratory,Government,Earth Observation,NAN,Elliptical,NAN,0,591,30534,1.92,0.68,10.03,539.06,648,NAN,NAN,8/30/12,NAN,Johns Hopkins University Applied Physics Laboratory,USA,Cape Canaveral,Atlas 5,2012-046A,38752,Government,USA,2012,8,30,15562.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Allen Probe B (RBSP-B  Radiation Belt Storm Probes),USA,USA,National Aeronautics and Space Administration (NASA)/Johns Hopkins University Applied Physics Laboratory,Government,Earth Observation,NAN,Elliptical,NAN,0,595,30657,1.33,0.68,10.04,541.4,666,NAN,NAN,8/30/12,NAN,Johns Hopkins University Applied Physics Laboratory,USA,Cape Canaveral,Atlas 5,2012-046B,38753,Government,USA,2012,8,30,15626,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMM Newton (High Throughput X-ray Spectroscopy Mission),ESA,ESA,European Space Operations Centre (ESOC),Government,Space Science,NAN,Elliptical,Deep Highly Eccentric,0,7079,114027,-2.14,0.8,38.4,2872.15,3764,3233,NAN,12/10/99,10,Dornier Systems (and 46 subcontractors),International,Guiana Space Center,Ariane 5,1999-066A,25989,Government,Others,1999,12,10,60553,1990 - 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-2 (Koreasat-8  ST-3),NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,NAN,GEO,NAN,75,35778,35793,1.09,0,0.08,1436.03,6330,NAN,16000,2/6/14,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-006A,39508,Commercial,Multinational,2014,2,6,35785.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-2A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,NAN,GEO,NAN,-75,35700,35700,-1.96,0,0,1436.1,1800,NAN,NAN,6/15/16,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588,Commercial,Multinational,2016,6,15,35700,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-3A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,NAN,GEO,NAN,-3,35788,35803,3.14,0,0.1,1436,2000,NAN,NAN,3/2/15,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424,Commercial,Multinational,2015,3,2,35795.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-4 (ABS-2i  MBSat  Mobile Broadcasting Satellite  Han Byul),NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,NAN,GEO,NAN,75,35780,35793,-2.27,0,0.01,1436.1,4143,1700,7400,3/13/04,12,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,Commercial,Multinational,2004,3,13,35786.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-6 (ABS-1  LMI-1  Lockheed Martin-Intersputnik-1),NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,NAN,GEO,NAN,159,35777,35794,-0.1,0,0.01,1436.08,2894,1730,6 800 (EOL),9/26/99,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,Commercial,Multinational,1999,9,26,35785.5,1990 - 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-7 (Koreasat 3  Mugungwha 3),South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,NAN,GEO,NAN,116.18,35780,35791,-0.41,0,0.01,1436.06,3500,1800,4800,9/4/99,15,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,Commercial,Multinational,1999,9,4,35785.5,1990 - 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Orion 2 (Mentor  NROL 6  USA 139),USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,NAN,-26,35560,36013,-1.47,0.01,7.72,1436.14,4500,NAN,NAN,5/9/98,NAN,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,Military,USA,1998,5,9,35786.5,1990 - 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Orion 3 (Mentor  NROL 19  USA 171),USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,NAN,95.4,35589,35984,-0.96,0,3.2,1436.1,4500,NAN,NAN,9/9/03,NAN,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937,Military,USA,2003,9,9,35786.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Orion 4 (Mentor  NRO L-26  USA 202),USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,NAN,44,35714,35937,0.84,0,2.89,1438.8,5000,NAN,NAN,1/18/09,NAN,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490,Military,USA,2009,1,18,35825.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Orion 5 (Mentor  NRO L-32  USA 223),USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,NAN,100.9,35500,35500,-2.43,0,0,1436,5000,NAN,NAN,11/21/10,NAN,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232,Military,USA,2010,11,21,35500,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Orion 6 (Mentor  NRO L-15  USA 237),USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,NAN,60,35771,35805,-0.58,0,0,1436.1,5000,NAN,NAN,6/29/12,NAN,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528,Military,USA,2012,6,29,35788,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Orion 7 (Mentor  NRO L-37  USA 268),USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,NAN,102.6,35613,35903,-2.21,0,7.51,1437.19,5000,NAN,NAN,6/11/16,NAN,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584,Military,USA,2016,6,11,35758,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEHF-2 (Advanced Extremely High Frequency satellite-2  USA 235),USA,USA,US Air Force,Military,Communications,NAN,GEO,NAN,-120,35772,35801,2.41,0,2.34,1436.1,6169,NAN,NAN,5/3/12,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254,Military,USA,2012,5,3,35786.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEHF-3 (Advanced Extremely High Frequency satellite-3  USA 246),NR,USA,US Air Force,Military,Communications,NAN,GEO,NAN,152.1,35700,35803,2.29,0,4.2,1436.1,6169,NAN,NAN,9/18/13,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256,Military,USA,2013,9,18,35751.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEHF-4 (Advanced Extremely High Frequency satellite-4  USA 288),USA,USA,US Air Force,Military,Communications,NAN,GEO,NAN,150.2,35781,35790,-1.22,0,0.05,1436.1,6169,NAN,NAN,10/17/18,NAN,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2018-079A,43651,Military,USA,2018,10,17,35785.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEHF-5 (Advanced Extremely High Frequency satellite-5  USA 292),USA,USA,US Air Force,Military,Communications,NAN,GEO,NAN,-94.39,35780,35810,-0.26,0,6.4,1436.2,6169,NAN,NAN,8/8/19,NAN,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2019-051A,44481,Military,USA,2019,8,8,35795,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEHF-6 (Advanced Extremely High Frequency satellite-6  USA 298),NR (4/20),USA,US Air Force ,Military,Communications,NAN,GEO,NAN,0,35780,35780,-0.3,0,0,1436,6169,NAN,NAN,3/26/20,NAN,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2020-022B,45465,Military,USA,2020,3,26,35780,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghansat-1 (Eutelsat 48D [Eutelsat 48B  Eutelsat W2M]),France,Multinational,EUTELSAT S.A.,Commercial,Communications,NAN,GEO,NAN,48,35764,35808,-2.5,0,0.12,1436.08,3460,1555,7000,12/20/08,15,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,Commercial,Multinational,2008,12,20,35786,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Yah-3,Brazil,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,NAN,GEO,NAN,-20,35777,35796,-1.02,0,0,1436,3795,NAN,NAN,1/25/18,15,Orbital ATK,USA,Guiana Space Center,Ariane 5,2018-012A,43174,Commercial,Others,2018,1,25,35786.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcomsat (Algerian Communications Satellite),Algeria,Algeria,Algerian Space Agency (ASAL),Government,Communications,NAN,GEO,NAN,-24.8,35744,35798,-0.28,0,0.04,1436.1,5225,NAN,NAN,12/10/17,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2017-078A,43039,Government,Others,2017,12,10,35771,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-2,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,NAN,GEO,NAN,-61,35767,35805,0.25,0,0.03,1436.08,5465,NAN,15300,10/1/09,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942,Commercial,Others,2009,10,1,35786,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-3,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,NAN,GEO,NAN,-61,35781,35791,-1.91,0,0.03,1436.05,6265,2778,14000,2/7/13,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078,Commercial,Others,2013,2,7,35786,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-4A,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,NAN,GEO,NAN,-61,35784,35795,2.6,0,0.08,1436.24,2938,NAN,NAN,3/22/14,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2014-011A,39616,Commercial,Others,2014,3,22,35789.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-5,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,NAN,GEO,NAN,-61,35785,35789,1.46,0,0.04,1436.11,5900,NAN,NAN,9/12/17,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2017-053A,42934,Commercial,Others,2017,9,12,35787,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-1 (Americom 1  GE-1),USA,USA,SES S.A.,Commercial,Communications,NAN,GEO,NAN,-129.15,35772,35800,-0.17,0,0.03,1436.1,2783,1600,6 500 (EOL),9/8/96,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,Commercial,USA,1996,9,8,35786,1990 - 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-11 (Americom-11  GE 11),USA,USA,SES S.A.,Commercial,Communications,NAN,GEO,NAN,-130.93,35774,35797,-2.2,0,0.04,1436.07,2340,2316,6 500 (EOL),5/19/04,15,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,Commercial,USA,2004,5,19,35785.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-15 (Americom-15),USA,USA,SES S.A.,Commercial,Communications,NAN,GEO,NAN,-105.04,35777,35795,-1.09,0,0.04,1436.08,4200,NAN,NAN,10/14/04,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,2004-041A,28446,Commercial,USA,2004,10,14,35786,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-16 (Americom-16),USA,USA,SES S.A.,Commercial,Communications,NAN,GEO,NAN,-84.98,35780,35793,1.38,0,0.02,1436.1,4312,NAN,NAN,12/17/04,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472,Commercial,USA,2004,12,17,35786.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-18 (Americom 18),USA,USA,SES S.A.,Commercial,Communications,NAN,GEO,NAN,-104.97,35773,35800,-1.63,0,0.06,1436.1,2081,918,NAN,12/8/06,15,Lockheed Martin Missiles & Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644,Commercial,USA,2006,12,8,35786.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-2 (Americom 2  GE-2),USA,USA,SES S.A.,Commercial,Communications,NAN,GEO,NAN,-100.98,35774,35798,1.26,0,0.05,1436.1,2648,1600,6 500 (EOL),1/30/97,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713,Commercial,USA,1997,1,30,35786,1990 - 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-21 (Americom 21),United Kingdom,USA,SES S.A.,Commercial,Communications,NAN,GEO,NAN,-124.86,35778,35793,1.98,0,3,1436.1,2500,NAN,5000,8/14/08,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275,Commercial,USA,2008,8,14,35785.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-4 (Americom-4  GE-4),USA,USA,SES S.A./Gogo,Commercial,Communications,NAN,GEO,NAN,-100.99,35781,35791,-2.83,0,0.01,1436.1,3909,2500,NAN,11/13/99,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954,Commercial,USA,1999,11,13,35786,1990 - 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-6 (Americom-6  GE-6),USA,USA,SES S.A.,Commercial,Communications,NAN,GEO,NAN,-71.98,35778,35795,-1.24,0,0.05,1436.12,3901,2500,NAN,10/22/00,15,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580,Commercial,USA,2000,10,22,35786.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-8 (Americom-8  GE-8  Aurora 3),USA,USA,SES S.A.,Commercial,Communications,NAN,GEO,NAN,-139,35773,35798,1.11,0,0.03,1436.07,2015,919,3300,12/19/00,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639,Commercial,USA,2000,12,19,35785.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.orbcomm.com,http://nssdc.gsfc.nasa.gov/spacewarn/spx554.html,http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
Amos 17,NR (4/20),Israel,Space-Communication Ltd.,Military/Commercial,Communications,NAN,GEO,NAN,17,35777,35793,-3.08,0,0,1436.04,6500,NAN,NAN,8/6/19,20,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2019-050A,44479,Multi-purpose,Others,2019,8,6,35785,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 3,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,NAN,GEO,NAN,-3.99,35783,35789,2.15,0,0.04,1436.1,NAN,NAN,NAN,4/28/08,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794,Multi-purpose,Others,2008,4,28,35786,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 4,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,NAN,GEO,NAN,65,35633,35796,2.51,0,0.01,1432,NAN,NAN,NAN,8/31/13,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,2013-045A,39237,Multi-purpose,Others,2013,8,31,35714.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F1,Canada,Canada,Telesat Canada Ltd. (BCE  Inc.),Commercial,Communications,NAN,GEO,NAN,-107.27,35778,35793,2.92,0,0.02,1436.08,4710,2950,15 500 (EOL),11/21/00,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,Commercial,Others,2000,11,21,35785.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F1R,Canada,Canada,Telesat Canada Ltd. (BCE  Inc.),Commercial,Communications,NAN,GEO,NAN,-107.3,35777,35795,1.81,0,0.02,1436.1,4500,NAN,10000,9/9/05,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2005-036A,28868,Commercial,Others,2005,9,9,35786,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F2,Canada,Canada,Telesat Canada Ltd. (BCE  Inc.),Commercial,Communications,NAN,GEO,NAN,-111.07,35781,35790,1.91,0,0.01,1436.08,5910,3805,16000,7/18/04,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378,Commercial,Others,2004,7,18,35785.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F3,Canada,Canada,Telesat Canada Ltd. (BCE  Inc.),Commercial,Communications,NAN,GEO,NAN,-118.69,35778,35794,2.94,0,0.01,1436.1,4715,NAN,17500,4/9/07,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2007-009A,31102,Commercial,Others,2007,4,9,35786,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik G1,NR,Canada,Telesat Canada Ltd. (BCE  Inc.),Commercial,Communications,NAN,GEO,NAN,-107.3,35773,35799,-2.6,0,0.01,1436.08,4905,NAN,17500,4/15/13,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2013-014A,39127,Commercial,Others,2013,4,15,35786,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apstar 6,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,NAN,GEO,NAN,134.04,35778,35794,1.83,0,0.01,1436.08,4680,NAN,NAN,4/12/05,NAN,Alcatel Space Industries,France/Italy,Xichang Satellite Launch Center,Long March 3B,2005-012A,28638,Commercial,China,2005,4,12,35786,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apstar 6C,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,NAN,GEO,NAN,134,35783,35790,-0.86,0,0.05,1436.1,NAN,NAN,NAN,5/3/18,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2018-041A,43450,Commercial,China,2018,5,3,35786.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apstar 7,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,NAN,GEO,NAN,76.5,35864,35874,-2.56,0,0.03,1440.31,5054,NAN,NAN,3/31/12,15,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B,2012-013A,38107,Commercial,China,2012,3,31,35869,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apstar 9,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,NAN,GEO,NAN,142,35782,35788,-1.46,0,0.12,1436.01,5200,NAN,10500,10/16/15,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-059A,40982,Commercial,China,2015,10,16,35785,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabsat 5C,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,NAN,GEO,NAN,19.99,35766,35805,2.54,0,0.06,1436.06,4630,NAN,NAN,9/21/11,15,Astrium/Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2011-049B,37810,Government,Multinational,2011,9,21,35785.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabsat 6A,NR (11/19),Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,NAN,GEO,NAN,30.5,35774,35811,-2.85,0,0.01,1436,6465,NAN,20000,4/11/19,15,Lockheed Martin,USA,Cape Canaveral,Falcon Heavy,2019-021A,44186,Commercial,Multinational,2019,4,11,35792.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabsat 7F (Nimiq 1),Canada,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,NAN,GEO,NAN,44.5,35778,35794,0.64,0,0.01,1436.09,3600,1700,8600,5/20/99,12,Lockheed Martin/Spar Aerospace,USA/Canada,Baikonur Cosmodrome,Proton D,1999-027A,25740,Commercial,Multinational,1999,5,20,35786,1990 - 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArSat 1,Argentina,Argentina,ArSat,Commercial,Communications,NAN,GEO,NAN,-71.8,35778,35795,-3.02,0,0.01,1436.07,3000,NAN,NAN,10/16/14,15,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2014-062B,40272,Commercial,Others,2014,10,16,35786.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArSat 2,Argentina,Argentina,ArSat,Commercial,Communications,NAN,GEO,NAN,-81,35786,35801,1.13,0,0.01,1436.06,2977,NAN,4600,9/30/15,15,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2015-054B,40941,Commercial,Others,2015,9,30,35793.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-3S (Asiasat 3SA),China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,NAN,GEO,NAN,105.55,35780,35792,3.03,0,0.02,1436.07,3480,2500,10000,3/21/99,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,1999-013A,25657,Commercial,China,1999,3,21,35786,1990 - 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-5,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,NAN,GEO,NAN,100.5,35778,35795,-0.6,0,0,1436.11,3760,NAN,NAN,8/11/09,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,2009-042A,35696,Commercial,China,2009,8,11,35786.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-6 (Thaicom-7),China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,NAN,GEO,NAN,120,35783,35793,-0.48,0,0.07,1436.17,3700,NAN,NAN,9/7/14,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-052A,40141,Commercial,China,2014,9,7,35788,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-7,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,NAN,GEO,NAN,105.5,35782,35793,2.13,0,0.02,1436.17,3813,NAN,NAN,11/25/11,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2011-069A,37933,Commercial,China,2011,11,25,35787.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-8,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,NAN,GEO,NAN,105.5,35781,35793,2.61,0,0.07,1436.1,4500,NAN,8500,8/5/14,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-046A,40107,Commercial,China,2014,8,5,35787,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-9,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,NAN,GEO,NAN,122,35783,35790,3.1,0,0.02,1436.1,6140,NAN,NAN,9/28/17,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2017-057A,42942,Commercial,China,2017,9,28,35786.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
